"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","Absolute score (sig.score)"
"TCGA.DJ.A3UX.01",0.0273106285826407,0,0.0721748183489139,0.0663865575521898,0,0.0141138972902302,0,0.0334363909176479,0,0,0,0.0423450204492005,0.000752826290534049,0.00436947247892305,0.0387543492901107,0.0814788033548074,0,0,0,0.0060871929275801,0,0,9999,0.107707318374216,1.04605358194179,0.387209957482778
"TCGA.ZN.A9VQ.01",0.00200771698085245,0,0,0.0203178104708179,0,0.0338596955612335,0,0.00283862246018941,0.0203746887026111,0,0,0.0172683356470973,0.0422550038713215,0,0,0.11659672497207,0.00897307372583012,0,0.0494205630319869,0,0,0,9999,0.148627822552216,1.03161794819769,0.31391223542401
"TCGA.EI.6512.01",0.0134403448955363,0,0.0352772687019781,0.00536098414487185,0,0.0470481630505351,0,0.0173261577465117,0.00219430374641662,0,0,0.0205474483421402,0.00437111277598968,0.0138040931378986,0.0227603669066646,0.0812533959692138,0,0.00322240364255604,0.0114232486792882,0,0,0.00580406316303242,9999,0.0808189370616823,1.04674393580407,0.283833354902633
"TCGA.J4.A83K.01",0.00436353769903442,0,0.0394234198282863,0.0239957737868443,0,0.0269490031650761,0,0.0184548703876157,0,0,0,0.0121112152435457,0.00544862693329132,0.00872167718950822,0.00561840778783585,0.0270186435008606,0.00169532204329738,0,0.0273329913538876,0,0,0,9999,-0.00334365630095089,1.06843061459898,0.201133488919083
"TCGA.EE.A17X.06",0.00130671342600195,0,0,0.0131159578985759,0,0.0034914822153029,0,0.0110891067611398,0.0122955075330159,0,0.0111781442918159,0,0,0.0358827498468205,0.00334689646028518,0.0283823009950859,0,0,0.00309673219109663,0,0.00181389846915035,0,9999,0.064987814440612,1.08691602935629,0.124999490088291
"TCGA.HZ.7922.01",0.0284576470746268,0.0100413041974874,0.0229052589782558,0.0429209127848553,0,0.0913229478308167,0,0.00782169335767343,0.0304227060868608,0,0,0.0332666204724397,0.015290842905003,0.044850383059769,0.0356573804518262,0.144267314858322,0.0437498255563944,0.000736562494253094,0.0724336168965627,0,0,0.0130699170980405,9999,0.239991828237447,0.982287442703461,0.637214934103187
"TCGA.DD.AACA.02",0.000252246690471557,0.000380988979880158,0.000467795729937959,0,0.00104148070739906,0.0101823030632026,0,0.00101641980870525,0.0032793883297413,0,0.00652450037658482,0,0.00162125540926756,0.00421183968062934,0.000939187409149655,0.00874144182033927,0.000144149488756912,0,0.00532601496994009,0,0,4.34544470660897e-05,9999,0.00193692336963606,1.08646048432174,0.0441724669110716
"TCGA.DD.AACA.01",0.00267436969409715,0,0.00563419198830095,0,0,0.00915692528587474,0,0.00344404087231807,0.00311838791369571,0,0,0.00936290010982852,0.00542498415330217,0.00536201267733601,0.00491904499079067,0.0170148905777526,0.000349632923880579,0,0.0200023067930302,0,0,0,9999,-0.000195795967306784,1.08369364664547,0.0864636879802073
"TCGA.D3.A8GD.06",0.115950417702924,0,0.0475032743451838,0.232159450661136,0,0.0299866628273783,0.0328798195986814,0.073066108629589,0.0958210652664666,0.000123368950408758,0,0.0540669404436024,0.030807603564714,0.149057731480061,0.120058964753784,0.0770244683835897,0.00259819067649383,0,0,0,0,0,9999,0.389197891025251,0.922896930665926,1.06110406728401
"TCGA.13.1485.01",0,0.000279479270725376,0.00406234462253563,0.00412950415078394,0,0.0256640478600377,0,0.00553366685822401,0.020125773840704,0,0.00620963736730954,0.00407033337566967,0.00370982426228301,0.0592033739849299,0,0.0468963374347282,0,0,0.000500562863456521,0,0,6.48733465769225e-05,9999,0.1564511234751,1.05526832490603,0.180449759237964
"TCGA.QG.A5YX.01",0.00891772227932771,0,0.0243623313767784,0.00563058961393262,0,0.0328400935254267,0,0.00703782938423902,0.00719762312653451,0,0,0.00189359931091215,0,0.0214990938441307,0.00118634352625472,0.0393437655053764,0,0.00204043900350942,0,0.00970608055125536,0,0,9999,-0.00347835697310547,1.07974737658029,0.161655511047678
"TCGA.ZG.A9MC.01",0.0408825779139388,0.0733024588214732,0.0139407075374462,0.0732501930743263,0,0.21469469175504,0,0.0977394291380781,0.002079217516639,0,0,0.0632221663621095,0.00468576864460766,0.0292772651707578,0.0317967086028624,0.144605422880276,0,0.024423355385885,0.00755013587353119,0,0,0,9999,0.266221958833724,0.98130243974315,0.821450098676971
"TCGA.DU.A7TI.01",0.00129317756092502,0.00102414109750634,0.00344928152150612,0,0,0.0453621954876671,0,0.00729720095306333,0.00267014714604768,0,0,0.0306277624418759,0.0197657155524819,0,0.000566839632329418,0.026943086338325,0.000846146958628943,0.000351647245057941,0,0.103311044191272,0.0106694677246798,0.00333601231857339,9999,0.388919048283129,0.957892273475358,0.25751386616994
"TCGA.A3.3335.01",0.010307329226448,7.65926204440987e-05,0.00336929153388427,0.0279930442353373,0,0.0889388483433357,0,0.00233363175300756,0.00188277223542953,0,0.0020708005558111,0,0.00276097303742666,0.00189866386659862,0.00824733755490719,0.172822093595986,0,0.00791050004793264,0.00489252642359095,0,0,0.0131812480373672,9999,0.1241222696944,1.05421256922298,0.348685653067507
