"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","Absolute score (sig.score)"
"GTEX.Y5V6.2826.SM.4VDSF",0.000454845390948455,0,0.00135024893534522,0.00627001791471469,0,0.0161335334186413,0,0.00227243226262883,0.000353971475783343,0,0.00506913948714001,0.00187559848054363,0.0118672186182799,0,0.000546930222201077,0.0624174089405445,0.000749872434822762,0,0.0334913791826098,0,0,0,9999,0.0712722146252072,1.07456667721938,0.142852596764204
"GTEX.Y111.1826.SM.4SOIR",0.00412238188535091,0,0.000351040219505794,0,0,0.0426818856931098,0,0,0.00258323812474239,0,0.00390273219786358,0.00451687890248394,0.00693544190348837,0.0014420162721584,0.00164930154834216,0.00365746120738997,0,0,0.145732492214535,0,0,0,9999,0.47602465315639,0.911419682909316,0.21757487016897
"GTEX.TMZS.0001.SM.3P61Q",0,0.123031284583069,0.0796653995980152,0,0,0,0,0.0106015713943434,0.00052339196806339,0,0,0.00731418753162216,0,0,0,0.00162696296391642,0,0.0647524148201836,0,0,0.00259353109548317,0,9999,0.563334221555511,0.833253971902052,0.290108743954696
"GTEX.11XUK.1426.SM.5EQMG",0.101518315426672,0.57389128764014,0.0270234014858728,0.151961862745297,0.0281613594960752,0.231027220378704,0,0,0,0,0.0325548662781377,0.0119976349381076,0.0284789084768767,0,0,0.113613343294249,0,0.0107753178905436,0,0,0,0,9999,0.642810008127282,0.778729678875249,1.31100351805068
"GTEX.WOFM.0526.SM.4OOS2",0.00698863348529728,0,0.00010943943563071,0.00620275416302281,0,0.0128138885276234,0,0.00503003230444257,0,0,0,0.00321841406893495,0.0215383115831132,0,0,0.0754755655097999,0,0,0.0587287015826376,0,0,0,9999,0.354293462443596,0.945422313500073,0.190105740660502
"GTEX.N7MS.2526.SM.26GMA",0.0131294295215665,0,0.00336768602542895,0.0220484969712965,0,0,0,0.0250578152038401,0,0,0,0.000703654274032129,0.00348692363839173,0.00891516411054364,0,0,0,0,0.0144985132346018,0,0,0,9999,-0.028479361685814,1.11102532008744,0.0912076829797014
"GTEX.WHPG.0226.SM.3NMB9",0.0299709590488792,0,0.00219149383567592,0.108326191853754,0,0.0106108218730829,0,0.0638526321220988,0,0,0.0039173611005815,0.0222419124067212,0.0478868818431701,0,0.00737565330823032,0.0854358185772861,0,0.0167139366056288,0.00806373683205673,0,0,0,9999,0.000469326862839011,1.095985674511,0.406587399407166
"GTEX.13FTZ.2226.SM.5LZXI",0.00958586218914266,0,0.00892671455020176,0.000304076913882506,0,0.00237489523301239,0,0.00340065149863253,0,0,0.00591390873910799,0.000291143721514798,0.00399294075594497,0,0.000666522248652556,0.0104316435774977,0,0.000269863530155851,0.00382548487036357,0,0.00056640772199614,0,9999,-0.0361319525697367,1.07568796426671,0.0505501155501054
"GTEX.14AS3.1326.SM.5RQJE",0.0145643125538761,0,0.0016727136910059,0.0111463746658309,0,0.0112980130773702,0,0.00468687999874561,0.000860089176516072,0,0,0.00737427474875587,0.00356316384239307,0,0,0.0219151001092034,0,0,0.0119164963637359,0,0.00111080164317112,0,9999,-0.0037659957472697,1.08505371172237,0.0901082198706041
"GTEX.QEG4.0426.SM.5S2VQ",0.010185212251775,0,0.0066353445419255,0.00220555922871901,0,0.000331850818330919,0,0.00741244008700806,0,0,0.00468759418823907,0.00228882515568674,0.00369418423194134,0,0.00103252319221563,0.0305705058242671,0,0,0.00677699198879978,0,0,0,9999,-0.0170887910032229,1.08745892859385,0.0758210315089081
"GTEX.1339X.0326.SM.5K7Z8",0.00598478288282776,0,0.00354427420185822,0.00198540513416061,0,0.010826895114428,0,0.0120398317742253,0,0,0,0.00400092651231022,0.015899184460025,0,0.00134084592918836,0.02382646058846,0,0,0.00406907972026919,0,0,0,9999,0.000715014785881623,1.08106793024052,0.0835176863177527
"GTEX.PLZ6.0126.SM.48TC6",0.27653462401912,0.170576762300708,0.0287495838084621,0.368759166221625,0,0.0501271807720512,0,0,0.0479814651687447,0,0.138008189144001,0.0291360408564505,0.208779166063461,0,0,0.423815447862013,0,0,0.0180381558269303,0,0,0.253775142988552,9999,0.367868313314826,0.93287574953859,2.01428092503212
"GTEX.11ONC.2826.SM.5P9GQ",0,0,0.0350247476899638,0.0956922432207265,0,0,0,0.090816328815025,0.00524771705298428,0,0.00494118283619991,0.0146738530250221,0.022298849500387,0.0302881567348055,0.0185200189712039,0.0500475766865106,0.000227885584058671,0,0.0931541640993245,0,0.00289276362825366,0.000992905147569002,9999,0.0488619525922395,1.06386613675268,0.464818392992034
"GTEX.N7MS.2526.SM.26GMR",0.00533262361829493,0,0.000567827896596864,0.00311167469302078,0.0022308283606351,0,0,0.000644307044527084,0,0,0,0.00445224188379444,0.00662231738801743,0,0,0.0138914215186113,0,0,0,0,0.000509797396490384,0,9999,-0.0940607082761791,1.14490148776871,0.0373630397999883
